rows	columns	distances	method
30x_PL_Mock	35x_PL_Mock	0.102153	perfect
30x_Q5_Mock	35x_PL_Mock	0.124444	perfect
35x_ACC_Mock	35x_PL_Mock	0.080833	perfect
35x_K_Mock	35x_PL_Mock	0.198943	perfect
35x_PHU_Mock	35x_PL_Mock	0.108396	perfect
20x_ACC_Mock	35x_Q5_Mock	0.09642	perfect
20x_K_Mock	35x_Q5_Mock	0.081429	perfect
20x_PHU_Mock	35x_Q5_Mock	0.121386	perfect
20x_PL_Mock	35x_Q5_Mock	0.14987	perfect
20x_Q5_Mock	35x_Q5_Mock	0.105623	perfect
25x_ACC_Mock	35x_Q5_Mock	0.100216	perfect
25x_K_Mock	35x_Q5_Mock	0.083951	perfect
25x_PHU_Mock	35x_Q5_Mock	0.121501	perfect
25x_PL_Mock	35x_Q5_Mock	0.111371	perfect
25x_Q5_Mock	35x_Q5_Mock	0.10319	perfect
30x_ACC_Mock	35x_Q5_Mock	0.084371	perfect
30x_K_Mock	35x_Q5_Mock	0.098833	perfect
30x_PHU_Mock	35x_Q5_Mock	0.079207	perfect
30x_PL_Mock	35x_Q5_Mock	0.11831	perfect
30x_Q5_Mock	35x_Q5_Mock	0.08021	perfect
35x_ACC_Mock	35x_Q5_Mock	0.07122	perfect
35x_K_Mock	35x_Q5_Mock	0.136467	perfect
35x_PHU_Mock	35x_Q5_Mock	0.0736	perfect
35x_PL_Mock	35x_Q5_Mock	0.098229	perfect
20x_ACC_Mock	20x_K_Mock	0.06989	vsearch
20x_ACC_Mock	20x_PHU_Mock	0.107891	vsearch
20x_K_Mock	20x_PHU_Mock	0.112301	vsearch
20x_ACC_Mock	20x_PL_Mock	0.146559	vsearch
20x_K_Mock	20x_PL_Mock	0.151121	vsearch
20x_PHU_Mock	20x_PL_Mock	0.08802	vsearch
20x_ACC_Mock	20x_Q5_Mock	0.09711	vsearch
20x_K_Mock	20x_Q5_Mock	0.085414	vsearch
20x_PHU_Mock	20x_Q5_Mock	0.074766	vsearch
20x_PL_Mock	20x_Q5_Mock	0.093003	vsearch
20x_ACC_Mock	25x_ACC_Mock	0.059064	vsearch
20x_K_Mock	25x_ACC_Mock	0.088529	vsearch
20x_PHU_Mock	25x_ACC_Mock	0.087441	vsearch
20x_PL_Mock	25x_ACC_Mock	0.115743	vsearch
20x_Q5_Mock	25x_ACC_Mock	0.079094	vsearch
20x_ACC_Mock	25x_K_Mock	0.091221	vsearch
20x_K_Mock	25x_K_Mock	0.090816	vsearch
20x_PHU_Mock	25x_K_Mock	0.07785	vsearch
20x_PL_Mock	25x_K_Mock	0.089	vsearch
20x_Q5_Mock	25x_K_Mock	0.059929	vsearch
25x_ACC_Mock	25x_K_Mock	0.074777	vsearch
20x_ACC_Mock	25x_PHU_Mock	0.102929	vsearch
20x_K_Mock	25x_PHU_Mock	0.124101	vsearch
20x_PHU_Mock	25x_PHU_Mock	0.069206	vsearch
20x_PL_Mock	25x_PHU_Mock	0.078991	vsearch
20x_Q5_Mock	25x_PHU_Mock	0.074991	vsearch
25x_ACC_Mock	25x_PHU_Mock	0.083039	vsearch
25x_K_Mock	25x_PHU_Mock	0.069336	vsearch
20x_ACC_Mock	25x_PL_Mock	0.11585	vsearch
20x_K_Mock	25x_PL_Mock	0.124373	vsearch
20x_PHU_Mock	25x_PL_Mock	0.084556	vsearch
20x_PL_Mock	25x_PL_Mock	0.071581	vsearch
20x_Q5_Mock	25x_PL_Mock	0.085231	vsearch
25x_ACC_Mock	25x_PL_Mock	0.095104	vsearch
25x_K_Mock	25x_PL_Mock	0.072376	vsearch
25x_PHU_Mock	25x_PL_Mock	0.074831	vsearch
20x_ACC_Mock	25x_Q5_Mock	0.090316	vsearch
20x_K_Mock	25x_Q5_Mock	0.079961	vsearch
20x_PHU_Mock	25x_Q5_Mock	0.080844	vsearch
20x_PL_Mock	25x_Q5_Mock	0.094529	vsearch
20x_Q5_Mock	25x_Q5_Mock	0.055126	vsearch
25x_ACC_Mock	25x_Q5_Mock	0.073679	vsearch
25x_K_Mock	25x_Q5_Mock	0.065413	vsearch
25x_PHU_Mock	25x_Q5_Mock	0.078683	vsearch
25x_PL_Mock	25x_Q5_Mock	0.087559	vsearch
20x_ACC_Mock	30x_ACC_Mock	0.11717	vsearch
20x_K_Mock	30x_ACC_Mock	0.0974	vsearch
20x_PHU_Mock	30x_ACC_Mock	0.079353	vsearch
20x_PL_Mock	30x_ACC_Mock	0.098607	vsearch
20x_Q5_Mock	30x_ACC_Mock	0.077043	vsearch
25x_ACC_Mock	30x_ACC_Mock	0.08876	vsearch
25x_K_Mock	30x_ACC_Mock	0.070956	vsearch
25x_PHU_Mock	30x_ACC_Mock	0.091379	vsearch
25x_PL_Mock	30x_ACC_Mock	0.087179	vsearch
25x_Q5_Mock	30x_ACC_Mock	0.078234	vsearch
20x_ACC_Mock	30x_K_Mock	0.066767	vsearch
20x_K_Mock	30x_K_Mock	0.072383	vsearch
20x_PHU_Mock	30x_K_Mock	0.07845	vsearch
20x_PL_Mock	30x_K_Mock	0.118166	vsearch
20x_Q5_Mock	30x_K_Mock	0.066057	vsearch
25x_ACC_Mock	30x_K_Mock	0.073221	vsearch
25x_K_Mock	30x_K_Mock	0.070299	vsearch
25x_PHU_Mock	30x_K_Mock	0.082844	vsearch
25x_PL_Mock	30x_K_Mock	0.100343	vsearch
25x_Q5_Mock	30x_K_Mock	0.066919	vsearch
30x_ACC_Mock	30x_K_Mock	0.091213	vsearch
20x_ACC_Mock	30x_PHU_Mock	0.09351	vsearch
20x_K_Mock	30x_PHU_Mock	0.10407	vsearch
20x_PHU_Mock	30x_PHU_Mock	0.091523	vsearch
20x_PL_Mock	30x_PHU_Mock	0.104099	vsearch
20x_Q5_Mock	30x_PHU_Mock	0.088557	vsearch
25x_ACC_Mock	30x_PHU_Mock	0.084416	vsearch
25x_K_Mock	30x_PHU_Mock	0.069833	vsearch
25x_PHU_Mock	30x_PHU_Mock	0.081691	vsearch
25x_PL_Mock	30x_PHU_Mock	0.076033	vsearch
25x_Q5_Mock	30x_PHU_Mock	0.093366	vsearch
30x_ACC_Mock	30x_PHU_Mock	0.085003	vsearch
30x_K_Mock	30x_PHU_Mock	0.08626	vsearch
20x_ACC_Mock	30x_PL_Mock	0.13262	vsearch
20x_K_Mock	30x_PL_Mock	0.155809	vsearch
20x_PHU_Mock	30x_PL_Mock	0.132049	vsearch
20x_PL_Mock	30x_PL_Mock	0.168847	vsearch
20x_Q5_Mock	30x_PL_Mock	0.154987	vsearch
25x_ACC_Mock	30x_PL_Mock	0.134621	vsearch
25x_K_Mock	30x_PL_Mock	0.129954	vsearch
25x_PHU_Mock	30x_PL_Mock	0.132367	vsearch
25x_PL_Mock	30x_PL_Mock	0.128157	vsearch
25x_Q5_Mock	30x_PL_Mock	0.15797	vsearch
30x_ACC_Mock	30x_PL_Mock	0.138799	vsearch
30x_K_Mock	30x_PL_Mock	0.13522	vsearch
30x_PHU_Mock	30x_PL_Mock	0.099817	vsearch
20x_ACC_Mock	30x_Q5_Mock	0.101983	vsearch
20x_K_Mock	30x_Q5_Mock	0.091569	vsearch
20x_PHU_Mock	30x_Q5_Mock	0.082301	vsearch
20x_PL_Mock	30x_Q5_Mock	0.094644	vsearch
20x_Q5_Mock	30x_Q5_Mock	0.069194	vsearch
25x_ACC_Mock	30x_Q5_Mock	0.083644	vsearch
25x_K_Mock	30x_Q5_Mock	0.058887	vsearch
25x_PHU_Mock	30x_Q5_Mock	0.079726	vsearch
25x_PL_Mock	30x_Q5_Mock	0.070746	vsearch
25x_Q5_Mock	30x_Q5_Mock	0.072233	vsearch
30x_ACC_Mock	30x_Q5_Mock	0.068763	vsearch
30x_K_Mock	30x_Q5_Mock	0.078553	vsearch
30x_PHU_Mock	30x_Q5_Mock	0.065617	vsearch
30x_PL_Mock	30x_Q5_Mock	0.122684	vsearch
20x_ACC_Mock	35x_ACC_Mock	0.094823	vsearch
20x_K_Mock	35x_ACC_Mock	0.105061	vsearch
20x_PHU_Mock	35x_ACC_Mock	0.138159	vsearch
20x_PL_Mock	35x_ACC_Mock	0.157113	vsearch
20x_Q5_Mock	35x_ACC_Mock	0.126963	vsearch
25x_ACC_Mock	35x_ACC_Mock	0.102419	vsearch
25x_K_Mock	35x_ACC_Mock	0.10094	vsearch
25x_PHU_Mock	35x_ACC_Mock	0.130214	vsearch
25x_PL_Mock	35x_ACC_Mock	0.119114	vsearch
25x_Q5_Mock	35x_ACC_Mock	0.125326	vsearch
30x_ACC_Mock	35x_ACC_Mock	0.10675	vsearch
30x_K_Mock	35x_ACC_Mock	0.116423	vsearch
30x_PHU_Mock	35x_ACC_Mock	0.081354	vsearch
30x_PL_Mock	35x_ACC_Mock	0.10377	vsearch
30x_Q5_Mock	35x_ACC_Mock	0.096954	vsearch
20x_ACC_Mock	35x_K_Mock	0.125069	vsearch
20x_K_Mock	35x_K_Mock	0.089364	vsearch
20x_PHU_Mock	35x_K_Mock	0.0963	vsearch
20x_PL_Mock	35x_K_Mock	0.113199	vsearch
20x_Q5_Mock	35x_K_Mock	0.07662	vsearch
25x_ACC_Mock	35x_K_Mock	0.111257	vsearch
25x_K_Mock	35x_K_Mock	0.095271	vsearch
