rows	columns	distances
20x_PL_DA10029	25x_K_DA10016	0.535131
20x_PL_DA10040	25x_K_DA10016	0.678673
20x_Q5_DA10001	25x_K_DA10016	0.620698
20x_Q5_DA10016	25x_K_DA10016	0.181279
20x_Q5_DA10029	25x_K_DA10016	0.526704
20x_Q5_DA10040	25x_K_DA10016	0.686891
25x_ACC_DA10001	25x_K_DA10016	0.583163
25x_ACC_DA10016	25x_K_DA10016	0.182399
25x_ACC_DA10029	25x_K_DA10016	0.487717
25x_ACC_DA10040	25x_K_DA10016	0.68059
25x_K_DA10001	25x_K_DA10016	0.600892
20x_ACC_DA10040	25x_K_DA10029	0.445982
20x_K_DA10001	25x_K_DA10029	0.432009
20x_K_DA10040	25x_K_DA10029	0.419785
20x_PHU_DA10001	25x_K_DA10029	0.466326
20x_PHU_DA10016	25x_K_DA10029	0.501542
20x_PHU_DA10029	25x_K_DA10029	0.175821
20x_PHU_DA10040	25x_K_DA10029	0.478079
20x_PL_DA10001	25x_K_DA10029	0.464672
20x_PL_DA10016	25x_K_DA10029	0.502118
20x_PL_DA10029	25x_K_DA10029	0.18851
20x_PL_DA10040	25x_K_DA10029	0.473633
20x_Q5_DA10001	25x_K_DA10029	0.477293
20x_Q5_DA10016	25x_K_DA10029	0.496856
20x_Q5_DA10029	25x_K_DA10029	0.199475
20x_Q5_DA10040	25x_K_DA10029	0.481232
25x_ACC_DA10001	25x_K_DA10029	0.432394
25x_ACC_DA10016	25x_K_DA10029	0.53634
25x_ACC_DA10029	25x_K_DA10029	0.168336
25x_ACC_DA10040	25x_K_DA10029	0.447388
25x_K_DA10001	25x_K_DA10029	0.44728
25x_K_DA10016	25x_K_DA10029	0.51354
20x_ACC_DA10040	25x_K_DA10040	0.192821
20x_K_DA10001	25x_K_DA10040	0.429365
20x_K_DA10040	25x_K_DA10040	0.172913
20x_PHU_DA10001	25x_K_DA10040	0.41541
20x_PHU_DA10016	25x_K_DA10040	0.679926
20x_PHU_DA10029	25x_K_DA10040	0.438209
20x_PHU_DA10040	25x_K_DA10040	0.216014
20x_PL_DA10001	25x_K_DA10040	0.431654
20x_PL_DA10016	25x_K_DA10040	0.680705
20x_PL_DA10029	25x_K_DA10040	0.439101
20x_PL_DA10040	25x_K_DA10040	0.212653
20x_Q5_DA10001	25x_K_DA10040	0.420884
20x_Q5_DA10016	25x_K_DA10040	0.678784
20x_Q5_DA10029	25x_K_DA10040	0.439579
20x_Q5_DA10040	25x_K_DA10040	0.212683
25x_ACC_DA10001	25x_K_DA10040	0.402161
25x_ACC_DA10016	25x_K_DA10040	0.688452
25x_ACC_DA10029	25x_K_DA10040	0.416103
25x_ACC_DA10040	25x_K_DA10040	0.172501
25x_K_DA10001	25x_K_DA10040	0.424605
25x_K_DA10016	25x_K_DA10040	0.676507
25x_K_DA10029	25x_K_DA10040	0.431067
20x_ACC_DA10040	25x_PHU_DA10001	0.359381
20x_K_DA10001	25x_PHU_DA10001	0.175268
20x_K_DA10040	25x_PHU_DA10001	0.36517
20x_PHU_DA10001	25x_PHU_DA10001	0.14694
20x_PHU_DA10016	25x_PHU_DA10001	0.597907
20x_PHU_DA10029	25x_PHU_DA10001	0.421161
20x_PHU_DA10040	25x_PHU_DA10001	0.371117
20x_PL_DA10001	25x_PHU_DA10001	0.186255
20x_PL_DA10016	25x_PHU_DA10001	0.59208
20x_PL_DA10029	25x_PHU_DA10001	0.450716
20x_PL_DA10040	25x_PHU_DA10001	0.348987
20x_Q5_DA10001	25x_PHU_DA10001	0.162642
20x_Q5_DA10016	25x_PHU_DA10001	0.591354
20x_Q5_DA10029	25x_PHU_DA10001	0.449691
20x_Q5_DA10040	25x_PHU_DA10001	0.385826
25x_ACC_DA10001	25x_PHU_DA10001	0.161863
25x_ACC_DA10016	25x_PHU_DA10001	0.60045
25x_ACC_DA10029	25x_PHU_DA10001	0.461654
25x_ACC_DA10040	25x_PHU_DA10001	0.378354
25x_K_DA10001	25x_PHU_DA10001	0.18751
25x_K_DA10016	25x_PHU_DA10001	0.586894
25x_K_DA10029	25x_PHU_DA10001	0.461799
25x_K_DA10040	25x_PHU_DA10001	0.406012
20x_ACC_DA10040	25x_PHU_DA10016	0.68484
20x_K_DA10001	25x_PHU_DA10016	0.598871
20x_K_DA10040	25x_PHU_DA10016	0.680869
20x_PHU_DA10001	25x_PHU_DA10016	0.617327
20x_PHU_DA10016	25x_PHU_DA10016	0.15762
20x_PHU_DA10029	25x_PHU_DA10016	0.521673
